爱不爱	abai
直通车	vtie
状态栏	vtlj
状态码	vtma
真他妈	vtma
猪头肉	vtrz
直挺挺	vttk
状态值	vtvi
重头戏	vtxi
猪蹄子	vtzi
正式版	vubj
装饰器	vuqi
真实性	vuxk
正准备	vvbw
执政党	vvdh
转折点	vvdm
主战场	vvih
住宅楼	vvlz
中专生	vvug
中文版	vwbj
占位符	vwfu
中午好	vwhc
执委会	vwhv
中文名	vwmk
债务人	vwrf
中位数	vwuu
植物学	vwxt
植物油	vwyz
中小板	vxbj
正相反	vxfj
轴心国	vxgo
照相馆	vxgr
主心骨	vxgu
真心话	vxhx
照相机	vxji
哲学家	vxjx
执行力	vxli
主旋律	vxlv
中心区	vxqu
中学生	vxug
直辖市	vxui
中小型	vxxk
中西医	vxyi
只限于	vxyv
直性子	vxzi
职业病	vybk
中药材	vycd
扎伊尔	vyer
障眼法	vyfa
找一个	vyge
正义感	vygj
职业化	vyhx
转眼间	vyjm
专业课	vyke
注意力	vyli
至于吗	vyma
竹叶青	vyqk
转一圈	vyqr
占优势	vyui
主要是	vyui
志愿者	vyve
中英文	vywf
正因为	vyww
重要性	vyxk
着眼于	vyyv
栀子花	vzhx
制造厂	vzih
著作权	vzqr
制作人	vzrf
制造商	vzuh
制造业	vzye
我爱你	wani
王安石	waui
喂不饱	wbbc
窝边草	wbcc
王八蛋	wbdj
完不成	wbig
忘不了	wbln
微波炉	wblu
玩不起	wbqi
玩不转	wbvr
误操作	wczo
稳定版	wdbj
无底洞	wdds
豌豆黄	wdhl
温度计	wdji
微电脑	wdnc
无党派	wdpd
外地人	wdrf
卫道士	wdui
无敌手	wduz
五大洲	wdvz
稳定性	wdxk
微电子	wdzi
沃尔玛	wema
沃尔沃	wewo
微服务	wfwu
乌干达	wgda
晚高峰	wgfg
温哥华	wghx
乌骨鸡	wgji
五官科	wgke
玩够了	wgle
亡国奴	wgnu
外国人	wgrf
无感知	wgvi
五个月	wgyt
外国语	wgyv
文化局	whjv
未婚妻	whqi
五花肉	whrz
完成了	wile
未成年	winm
无产者	wive
微积分	wjff
文件夹	wjjx
文件名	wjmk
伪君子	wjzi
乌克兰	wklj
五颗星	wkxk
胃溃疡	wkyh
无愧于	wkyv
忘了吧	wlba
窝里反	wlfj
乌拉圭	wlgv
网络化	wlhx
乌龙茶	wlia
往来款	wlkr
乌龙球	wlqq
外来人	wlrf
无论是	wlui
问了问	wlwf
物联网	wlwh
物理学	wlxt
五粮液	wlye
误码率	wmlv
雾蒙蒙	wmmg
亡命徒	wmtu
无名氏	wmui
无名指	wmvi
窝囊废	wnfw
玩腻了	wnle
万年历	wnli
窝囊气	wnqi
维纳斯	wnsi
威尼斯	wnsi
挖墙脚	wqjn
文曲星	wqxk
无人机	wrji
万人迷	wrmi
误认为	wrww
我认为	wrww
污染源	wryr
外孙女	wsnv
无所谓	wsww
乌托邦	wtbh
渥太华	wthx
无条件	wtjm
维他命	wtmk
委托人	wtrf
问题是	wtui
委托书	wtuu
晚上好	wuhc
卫生间	wujm
为什么	wume
维生素	wusu
微生物	wuwu
无障碍	wvai
无政府	wvfu
尾椎骨	wvgu
无纸化	wvhx
无止境	wvjk
文绉绉	wvvz
完整性	wvxk
无助于	wvyv
无外乎	wwhu
外围赛	wwsd
呜呜呜	wwwu
慰问信	wwxb
无线电	wxdm
维修厂	wxih
胃下垂	wxiv
五星级	wxji
文学家	wxjx
五线谱	wxpu
无限期	wxqi
外星人	wxrf
文学史	wxui
无休止	wxvi
无形中	wxvs
无线网	wxwh
危险性	wxxk
万用表	wybn
晚一步	wybu
晚一点	wydm
玩意儿	wyer
五月份	wyff
无用功	wygs
委员会	wyhv
网约车	wyie
违约金	wyjb
望远镜	wyjk
无意间	wyjm
无压力	wyli
无烟煤	wymw
维也纳	wyna
稳压器	wyqi
我也是	wyui
无疑是	wyui
无意识	wyui
武夷山	wyuj
无意中	wyvs
文言文	wywf
误以为	wyww
玩游戏	wyxi
问一下	wyxx
无意义	wyyi
无异于	wyyv
乌鸦嘴	wyzv
外祖父	wzfu
屋子里	wzli
外祖母	wzmu
五子棋	wzqi
武则天	wztm
晚自习	wzxi
西安市	xaui
香饽饽	xbbo
西北部	xbbu
想不到	xbdc
想办法	xbfa
信不过	xbgo
细胞核	xbhe
学不会	xbhv
想不出	xbiu
香槟酒	xbjq
想不开	xbkd
星巴克	xbke
小白脸	xblm
小保姆	xbmu
下半年	xbnm
想不起	xbqi
选拔赛	xbsd
小白鼠	xbuu
行不行	xbxk
西班牙	xbya
下辈子	xbzi
下次吧	xcba
下次见	xcjm
写错了	xcle
小聪明	xcmk
瞎操心	xcxb
响当当	xddh
小弟弟	xddi
小地方	xdfh
信得过	xdgo
闲得慌	xdhl
现代化	xdhx
洗涤剂	xdji
想得开	xdkd
想到了	xdle
新德里	xdli
新大陆	xdlu
想得美	xdmw
想当年	xdnm
许多人	xdrf
想当然	xdrj
行得通	xdts
心电图	xdtu
现代文	xdwf
相对性	xdxk
相当于	xdyv
小肚子	xdzi
小动作	xdzo
希尔顿	xedy
小而精	xejk
小儿科	xeke
小而全	xeqr
形而上	xeuh
小儿子	xezi
小幅度	xfdu
先锋队	xfdv
媳妇儿	xfer
消防车	xfie
悬浮窗	xfil
兴奋剂	xfji
消费品	xfpb
西方人	xfrf
消费税	xfuv
消费者	xfve
兴奋性	xfxk
新发现	xfxm
消防员	xfyr
修改版	xgbj
香港岛	xgdc
下功夫	xgfu
修改稿	xggc
小哥哥	xgge
性高潮	xgic
膝关节	xgjp
习惯了	xgle
小姑娘	xgnl
习惯上	xguh
习惯性	xgxk
下个月	xgyt
习惯于	xgyv
洗个澡	xgzc
小伙伴	xhbj
杏花村	xhcy
信号灯	xhdg
歇会儿	xher
笑呵呵	xhhe
学会了	xhle
西葫芦	xhlu
喜欢吗	xhma
消化酶	xhmw
瞎胡闹	xhnc
新华社	xhue
西红柿	xhui
绣花针	xhvf
向后转	xhvr
下划线	xhxm
小伙子	xhzi
小孩子	xhzi
线程池	xiii
兴冲冲	xiis
宣传片	xipm
吸尘器	xiqi
性价比	xjbi
现阶段	xjdr
选举法	xjfa
小轿车	xjie
洗洁精	xjjk
小姐姐	xjjp
戏剧家	xjjx
小金库	xjku
下脚料	xjln
新加坡	xjpo
陷进去	xjqu
性激素	xjsu
心绞痛	xjts
溴甲烷	xjwj
戏剧性	xjxk
先进性	xjxk
新纪元	xjyr
相较于	xjyv
小舅子	xjzi
夏枯草	xkcc
辛苦了	xkle
许可证	xkvg
性冷淡	xldj
修理工	xlgs
心里话	xlhx
序列化	xlhx
修理厂	xlih
斜拉桥	xlqn
香兰素	xlsu
巡逻艇	xltk
想了想	xlxl
心理学	xlxt
叙利亚	xlya
笑眯眯	xmmi
心目中	xmvs
下马威	xmww
小蛮腰	xmyc
虚拟币	xnbi
虚拟机	xnji
新娘子	xnzi
橡皮擦	xpca
修配厂	xpih
橡皮泥	xpni
小朋友	xpyz
学前班	xqbj
星期二	xqer
想清楚	xqiu
想起来	xqld
星期日	xqri
星期三	xqsj
星期天	xqtm
向日葵	xrkv
仙人掌	xrvh
泄私愤	xsff
新四军	xsjy
笑死了	xsle
小算盘	xspj
性骚扰	xsrc
吓死人	xsrf
硝酸盐	xsyj
系统化	xthx
习题集	xtji
先天性	xtxk
凶杀案	xuan
小数点	xudm
销售额	xuee
小时候	xuhz
洗手间	xujm
消失了	xule
显示屏	xupk
显示器	xuqi
形式上	xuuh
行驶证	xuvg
学术性	xuxk
小叔子	xuzi
修正版	xvbj
行政村	xvcy
想知道	xvdc
下周二	xver
县政府	xvfu
乡政府	xvfu
新中国	xvgo
瞎指挥	xvhv
新专辑	xvji
下周六	xvlq
西直门	xvmf
下周末	xvmo
行政区	xvqu
下周日	xvri
下周三	xvsj
象征性	xvxk
下周一	xvyi
纤维板	xwbj
新闻稿	xwgc
下午好	xwhc
下午茶	xwia
洗碗机	xwji
显微镜	xwjk
想歪了	xwle
纤维素	xwsu
夏威夷	xwyi
小心点	xxdm
新鲜感	xxgj
学习机	xxji
想象力	xxli
新西兰	xxlj
谢谢你	xxni
小学生	xxug
先行者	xxve
想象中	xxvs
笑嘻嘻	xxxi
小心眼	xxyj
下一步	xybu
下一次	xyci
下一代	xydd
幸运儿	xyer
洗衣粉	xyff
下一个	xyge
洗衣机	xyji
西游记	xyji
巡洋舰	xyjm
信用卡	xyka
吸引力	xyli
匈牙利	xyli
学院派	xypd
嫌疑人	xyrf
吸引人	xyrf
小意思	xysi
象牙塔	xyta
吓一跳	xytn
下意识	xyui
响应式	xyui
协议书	xyuu
协议栈	xyvj
小燕子	xyzi
小姨子	xyzi
心脏病	xzbk
学杂费	xzfw
写字间	xzjm
写字楼	xzlz
瞎琢磨	xzmo
殉葬品	xzpb
协奏曲	xzqu
闲杂人	xzrf
写字台	xztd
选择题	xzti
选择性	xzxk
写作业	xzye
眼巴巴	ybba
一般般	ybbj
一步步	ybbu
一部分	ybff
哑巴亏	ybkv
仪表盘	ybpj
要不然	ybrj
用不上	ybuh
一把手	ybuz
用不着	ybvc
要不要	ybyc
一辈子	ybzi
一次次	ycci
油菜花	ychx
原材料	ycln
一次性	ycxk
一大半	ydbj
一点点	yddm
移动端	yddr
一大堆	yddv
一点儿	yder
一顿饭	ydfj
烟袋杆	ydgj
一等功	ydgs
一定会	ydhv
运动会	ydhv
运动场	ydih
一大串	ydir
永动机	ydji
一等奖	ydjl
一大截	ydjp
邮电局	ydjv
一大口	ydkz
意大利	ydli
有道理	ydli
源代码	ydma
雅典娜	ydna
一大批	ydpi
一大片	ydpm
一刀切	ydqp
一大群	ydqy
有的人	ydrf
胰岛素	ydsu
冤大头	ydtz
有点事	ydui
一定是	ydui
源地址	ydvi
亚丁湾	ydwj
运动鞋	ydxp
一定要	ydyc
印度洋	ydyh
运动员	ydyr
一大早	ydzc
一肚子	ydzi
幼儿园	yeyr
一分货	yfho
预付款	yfkr
引发了	yfle
一方面	yfmm
预分配	yfpw
一分钱	yfqm
语法树	yfuu
预防针	yfvf
一分钟	yfvs
一封信	yfxb
原发性	yfxk
依附于	yfyv
一份子	yfzi
荧光灯	ygdg
压根儿	yger
一公分	ygff
一个个	ygge
油罐车	ygie
一个劲	ygjb
一股脑	ygnc
荧光屏	ygpk
雨刮器	ygqi
一个人	ygrf
硬骨头	ygtz
应该是	ygui
应该说	yguo
一个钟	ygvs
有关系	ygxi
一个月	ygyt
鱼肝油	ygyz
洋鬼子	ygzi
一会儿	yher
晕乎乎	yhhu
银行卡	yhka
用户态	yhtd
一回事	yhui
云函数	yhuu
印花税	yhuv
与会者	yhve
氧化物	yhwu
颐和园	yhyr
用户组	yhzu
演唱会	yihv
油茶面	yimm
雅加达	yjda
一句话	yjhx
一家人	yjrf
郁金香	yjxl
圆括号	ykhc
有可能	ykng
一口气	ykqi
眼看着	ykve
一刻钟	ykvs
一览表	ylbn
一两次	ylci
医疗费	ylfw
一两个	ylge
易拉罐	ylgr
一两回	ylhv
游乐场	ylih
一连串	ylir
养老金	yljb
鸭绿江	yljl
伊拉克	ylke
又来了	ylle
跃龙门	ylmf
一两年	ylnm
娱乐圈	ylqr
一两天	yltm
原来是	ylui
阅览室	ylui
医疗站	ylvj
意料中	ylvs
娱乐性	ylxk
依赖性	ylxk
越来越	ylyt
有利于	ylyv
一揽子	ylzi
有毛病	ymbk
油麦菜	ymcd
爷们儿	ymer
玉门关	ymgr
妖魔化	ymhx
牙买加	ymjx
压马路	ymlu
一幕幕	ymmu
一毛钱	ymqm
羽毛球	ymqq
虞美人	ymrf
一码事	ymui
一秒钟	ymvs
亚马逊	ymxy
圆明园	ymyr
有没有	ymyz
夜猫子	ymzi
一年级	ynji
云南省	ynug
一屁股	ypgu
有魄力	ypli
一平米	ypmi
一片片	yppm
音频线	ypxm
硬碰硬	ypyk
优缺点	yqdm
右前方	yqfh
邀请函	yqhj
爷青回	yqhv
元器件	yqjm
眼前亏	yqkv
用起来	yqld
一千年	yqnm
有钱人	yqrf
一群人	yqrf
邀请赛	yqsd
尤其是	yqui
与其说	yquo
摇钱树	yquu
有气质	yqvi
愚人节	yrjp
易燃品	yrpb
压缩包	ysbc
运算符	ysfu
以色列	yslp
预算内	ysnw
隐私权	ysqr
阴森森	yssf
英特尔	yter
研讨会	ythv
一条龙	ytls
一条路	ytlu
一条条	yttn
一首歌	yuge
于是乎	yuhu
有时候	yuhz
元数据	yujv
艺术性	yuxk
圆珠笔	yvbi
预制菜	yvcd
眼中钉	yvdk
硬中断	yvdr
一阵风	yvfg
一枝花	yvhx
一指禅	yvij
有主见	yvjm
邮政局	yvjv
意志力	yvli
验证码	yvma
一整天	yvtm
一只手	yvuz
一阵阵	yvvf
眼睁睁	yvvg
严重性	yvxk
一致性	yvxk
一炷香	yvxl
一转眼	yvyj
以致于	yvyv
以至于	yvyv
有助于	yvyv
一阵子	yvzi
英文版	ywbj
一万个	ywge
源文件	ywjm
依我看	ywkj
英文名	ywmk
一万年	ywnm
洋务派	ywpd
冤枉钱	ywqm
有问题	ywti
一晚上	ywuh
医务室	ywui
意味着	ywve
洋娃娃	ywwa
鱼尾纹	ywwf
业务员	ywyr
也许吧	yxba
疑心病	yxbk
鱼腥草	yxcc
一想到	yxdc
右下方	yxfh
优先股	yxgu
一席话	yxhx
游戏机	yxji
优先级	yxji
右下角	yxjn
元宵节	yxjp
影响力	yxli
预训练	yxlm
一系列	yxlp
音形码	yxma
印象派	yxpd
有效期	yxqi
有兴趣	yxqu
有心人	yxrf
有些人	yxrf
预选赛	yxsd
游戏厅	yxtk
一小时	yxui
意向书	yxuu
印象中	yxvs
一下午	yxwu
有效性	yxxk
亚细亚	yxya
医学院	yxyr
一下子	yxzi
应用层	yycg
有一次	yyci
有一点	yydm
优越感	yygj
音乐会	yyhv
有意见	yyjm
预言家	yyjx
一夜情	yyqk
有缘人	yyrf
悠悠然	yyrj
营业厅	yytk
摇摇头	yytz
云原生	yyug
运营商	yyuh
饮用水	yyuv
元宇宙	yyvz
优越性	yyxk
原子弹	yzdj
元字符	yzfu
夜总会	yzhv
原子量	yzll
原子能	yzng
原则上	yzuh
有组织	yzvi
一座座	yzzo
做不到	zbdc
做不出	zbiu
资本家	zbjx
走不开	zbkd
做不了	zbln
总不能	zbng
再不然	zbrj
坐不住	zbvu
赞比亚	zbya
子弟兵	zdbk
自动挡	zddh
最低点	zddm
最低分	zdff
自动化	zdhx
做到了	zdle
自定义	zdyi
罪恶感	zegj
字符串	zfir
字符集	zfji
子宫癌	zgai
自个儿	zger
最高分	zgff
走过场	zgih
足够了	zgle
总公司	zgsi
栽跟头	zgtz
自顾自	zgzi
自豪感	zhgj
藏红花	zhhx
组合键	zhjm
走后门	zhmf
杂货铺	zhpu
最好是	zhui
咋回事	zhui
综合性	zhxk
走出去	ziqu
总觉得	zjde
子进程	zjig
紫禁城	zjig
总经理	zjli
总决赛	zjsd
自觉性	zjxk
自解压	zjya
自驾游	zjyz
钻空子	zkzi
自留地	zldi
总理府	zlfu
脏乱差	zlia
紫罗兰	zllj
自来水	zluv
坐落于	zlyv
棕榈油	zlyz
坐落在	zlzd
怎么办	zmbj
走马灯	zmdg
怎么搞	zmgc
怎么会	zmhv
怎么看	zmkj
子母扣	zmkz
怎么了	zmle
子目录	zmlu
怎么能	zmng
怎么破	zmpo
自贸区	zmqu
自媒体	zmti
怎么说	zmuo
怎么着	zmvc
怎么玩	zmwj
怎么样	zmyh
怎么做	zmzo
阻尼感	zngj
怎能说	znuo
灾难性	znxk
左撇子	zpzi
足球队	zqdv
左前方	zqfh
足球场	zqih
责权利	zqli
最起码	zqma
责任感	zrgj
自然界	zrjp
总人口	zrkz
责任人	zrrf
责任书	zruu
自认为	zrww
责任心	zrxb
最容易	zryi
总司令	zslk
座谈会	zthv
糟蹋了	ztle
遭天谴	ztqm
总体上	ztuh
总投资	ztzi
座上宾	zubb
再生产	zuij
暂时性	zuxk
组织部	zvbu
总指挥	zvhv
自制力	zvli
增长率	zvlv
自治区	zvqu
杂志社	zvue
增值税	zvuv
组织者	zvve
组织性	zvxk
紫外光	zwgl
组委会	zwhv
走弯路	zwlu
做文章	zwvh
紫外线	zwxm
灶王爷	zwye
最新版	zxbj
总协定	zxdk
左下方	zxfh
最喜欢	zxhr
自行车	zxie
左下角	zxjn
坐下来	zxld
早些年	zxnm
走下去	zxqu
子系统	zxts
在校生	zxug
自信心	zxxb
脏兮兮	zxxi
醉醺醺	zxxy
作业本	zybf
再一次	zyci
早一点	zydm
自由度	zydu
自由化	zyhx
自由基	zyji
座右铭	zymk
在一起	zyqi
总预算	zysr
资源税	zyuv
遭遇战	zyvj
自以为	zyww
总医院	zyyr
自由泳	zyys
作用域	zyyv
曾祖父	zzfu
自尊心	zzxb
嗷嗷待哺	aadb
暗暗称奇	aaiq
安安静静	aajj
矮矮胖胖	aapp
安安全全	aaqq
嗷嗷无告	aawg
安安稳稳	aaww
安安心心	aaxx
哀哀欲绝	aayj
昂昂自若	aazr
按兵不动	abbd
按兵不举	abbj
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过去	abgq
阿布哈兹	abhz
鏖兵赤壁	abib
按部就班	abjb
傲不可长	abkv
爱别离苦	ablk
鞍不离马	ablm
爱不忍释	abru
按兵束甲	abuj
爱不释手	abuu
阿布扎比	abvb
安邦治国	abvg
安不忘危	abww
昂藏七尺	acqi
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱答不理	adbl
暗渡陈仓	adic
暗度陈仓	adic
澳大利亚	adly
安第斯山	adsu
安定团结	adtj
案牍之劳	advl
黯淡无光	adwg
安度晚年	adwn
阿尔卑斯	aebs
哀而不伤	aebu
阿尔及尔	aeje
爱尔兰岛	aeld
阿尔泰山	aetu
挨饿受冻	aeud
爱非其道	afqd
安分随时	afsu
安分守己	afuj
安分守理	aful
安分守命	afum
艾发衰容	afur
安分知足	afvz
安富尊荣	afzr
阿狗阿猫	agam
爱岗敬业	agjy
爱国热情	agrq
爱国人士	agru
爱国之心	agvx
爱国主义	agvy
哀感顽艳	agwy
鞍钢宪法	agxf
哀鸿遍野	ahby
哀毁骨立	ahgl
哀毁瘠立	ahjl
爱恨交织	ahjv
爱恨情仇	ahqi
熬肠刮肚	aigd
安常处顺	aiiu
安常履顺	ailu
安车蒲轮	aipl
安常守分	aiuf
安常习故	aixg
暗潮汹涌	aixy
挨家按户	ajah
挨家挨户	ajah
按甲不出	ajbi
挨肩擦背	ajcb
挨肩搭背	ajdb
哀矜惩创	ajii
阿娇金屋	ajjw
僾见忾闻	ajkw
安家落户	ajlh
安居乐业	ajly
安家立业	ajly
阿基米德	ajmd
暗箭难防	ajnf
按甲寝兵	ajqb
暗箭伤人	ajur
按甲休兵	ajxb
按迹循踪	ajxz
爱看不看	akbk
爱克斯光	aksg
爱口识羞	akux
阿里巴巴	albb
哀梨并剪	albj
爱理不理	albl
阿拉伯文	albw
阿拉伯语	alby
爱礼存羊	alcy
爱老慈幼	alcy
按劳付酬	alfi
按劳分配	alfp
安老怀少	alhu
按理来说	allu
奥林匹克	alpk
按劳取酬	alqi
安乐世界	aluj
哀梨蒸食	alvu
哀乐相生	alxu
暗流涌动	alyd
阿猫阿狗	amag
挨门挨户	amah
暧昧不明	ambm
傲慢不逊	ambx
安眉带眼	amdy
爱毛反裘	amfq
安民告示	amgu
安民济物	amjw
鞍马劳顿	amld
鞍马劳倦	amlj
鞍马劳困	amlk
爱莫能助	amnv
爱民如子	amrz
鞍马之劳	amvl
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
爱慕虚荣	amxr
爱民恤物	amxw
按捺不住	anbv
懊恼不已	anby
傲睨万物	anww
傲睨一切	anyq
傲睨一世	anyu
傲睨自若	anzr
阿平绝倒	apjd
安贫乐道	apld
安贫乐贱	aplj
安排食宿	apus
按辔徐行	apxx
安全玻璃	aqbl
安全保密	aqbm
哀其不幸	aqbx
安全措施	aqcu
安全电压	aqdy
安全第一	aqdy
安全火柴	aqhi
安全出口	aqik
安全检查	aqji
安全漏洞	aqld
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
阿其所好	aqsh
安其所习	aqsx
熬清守淡	aqud
安全生产	aqui
安全审计	aquj
按强助弱	aqvr
安全系数	aqxu
矮人观场	argi
爱人好士	arhu
黯然魂消	arhx
黯然魂销	arhx
蔼然可亲	arkq
矮人看戏	arkx
傲然睥睨	arpn
安然如故	arrg
安然入睡	arru
蔼然仁者	arrv
傲然挺立	artl
安若泰山	artu
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
爱如珍宝	arvb
黯然无色	arws
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
爱人以德	aryd
傲然屹立	aryl
昂然自得	arzd
安然自若	arzr
昂然自若	arzr
阿塞拜疆	asbj
爱素好古	ashg
哀丝豪竹	ashv
爱斯基摩	asjm
阿司匹林	aspl
暗送秋波	asqb
凹凸不平	atbp
哀天叫地	atjd
暗通款曲	atkq
按图索骏	atsj
按图索骥	atsj
昂头天外	attw
昂头挺胸	attx
安土重旧	atvj
安土重迁	atvq
哀痛欲绝	atyj
凹凸有致	atyv
碍手碍脚	auaj
安守本分	aubf
爱说不说	aubu
安神定魄	audp
安时处顺	auiu
傲上矜下	aujx
昂首阔步	aukb
安身立命	aulm
安生乐业	auly
爱沙尼亚	auny
傲世轻物	auqw
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
昂首伸眉	auum
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
爱生恶死	auws
昂首望天	auwt
安枕而卧	avew
安知非福	avff
安装程序	avix
按质论价	avlj
安装目录	avml
暗中摸索	avms
暗中倾轧	avqy
爱者如宝	avrb
安之若固	avrg
安之若命	avrm
安之若素	avrs
安枕无忧	avwy
暗中作梗	avzg
爱屋及乌	awjw
案无留牍	awld
安危冷暖	awln
爱物仁民	awrm
暗无天日	awtr
安危相易	awxy
安危与共	awyg
爱信不信	axbx
暗箱操作	axcz
安心定志	axdv
熬心费力	axfl
按需分配	axfp
爱新觉罗	axjl
暗下决心	axjx
安心立命	axlm
傲雪凌霜	axlu
安心乐意	axly
傲贤慢士	axmu
爱贤念旧	axnj
傲雪欺霜	axqu
昂霄耸壑	axsh
暗香疏影	axuy
安享晚年	axwn
爱惜羽毛	axym
安于覆盂	ayfy
聱牙佶屈	ayjq
安于磐石	aypu
暗约私期	aysq
爱因斯坦	ayst
安营扎寨	ayvv
盎盂相击	ayxj
盎盂相敲	ayxq
安营下寨	ayxv
安于现状	ayxv
安坐待毙	azdb
爱憎分明	azfm
暗自庆幸	azqx
爱憎无常	azwi
不安本分	babf
不安好心	bahx
不按常理	bail
不谙世事	bauu
不卑不亢	bbbk
褒贬不一	bbby
百病丛生	bbcu
斑斑点点	bbdd
步步登高	bbdg
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
本本分分	bbff
百般奉承	bbfi
百般抚慰	bbfw
不避斧钺	bbfy
宝贝疙瘩	bbgd
版本管理	bbgl
抱冰公事	bbgu
步步高升	bbgu
半壁河山	bbhu
包办婚姻	bbhy
败笔成丘	bbiq
百病缠身	bbiu
百步穿杨	bbiy
步步紧逼	bbjb
边边角角	bbjj
变本加厉	bbjl
比比皆然	bbjr
半壁江山	bbju
比比皆是	bbju
标本兼治	bbjv
步步惊心	bbjx
不避艰险	bbjx
班班可考	bbkk
必不可缺	bbkq
必不可少	bbku
白白浪费	bblf
步步莲花	bblh
斑驳陆离	bbll
奔波劳碌	bbll
半部论语	bbly
爸爸妈妈	bbmm
别抱琵琶	bbpp
白白胖胖	bbpp
彪炳千古	bbqg
背本趋末	bbqm
把臂入林	bbrl
拔本塞源	bbsy
蹦蹦跳跳	bbtt
彪炳史册	bbuc
勃勃生机	bbuj
版本升级	bbuj
不辨菽麦	bbum
布帛菽粟	bbus
不败之地	bbvd
八拜至交	bbvj
八拜之交	bbvj
半臂之力	bbvl
半臂之劳	bbvl
百般折磨	bbvm
不辨真伪	bbvw
不白之冤	bbvy
卑鄙龌龊	bbwi
卑鄙无耻	bbwi
被逼无奈	bbwn
百般无奈	bbwn
碧波万顷	bbwq
病病歪歪	bbww
白璧微瑕	bbwx
白璧无瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
败不旋踵	bbxv
彬彬有礼	bbyl
不拔一毛	bbym
兵不厌诈	bbyv
卑不足道	bbzd
百般阻挠	bbzn
悲不自胜	bbzu
不必在意	bbzy
并存不悖	bcbb
不存不济	bcbj
不辞而别	bceb
不测风云	bcfy
本草纲目	bcgm
包藏祸心	bchx
不存芥蒂	bcjd
病从口入	bckr
不辞劳苦	bclk
背槽抛粪	bcpf
博采穷搜	bcqs
碧草如茵	bcry
蔽聪塞明	bcsm
抱残守缺	bcuq
卑辞重币	bcvb
不测之祸	bcvh
博采众长	bcvi
悲从中来	bcvl
不才之事	bcvu
博采众议	bcvy
不测之罪	bcvz
辩才无碍	bcwa
不辞辛苦	bcxk
不辞辛劳	bcxl
拨草寻蛇	bcxu
不得不服	bdbf
变动不居	bdbj
宝刀不老	bdbl
百毒不侵	bdbq
不大不小	bdbx
百读不厌	bdby
本地存储	bdci
不登大雅	bddy
背道而驰	bdei
拔地而起	bdeq
不得而知	bdev
标点符号	bdfh
并蒂芙蓉	bdfr
不得好死	bdhs
白底黑字	bdhz
兵多将广	bdjg
本地接口	bdjk
博大精深	bdju
不懂就问	bdjw
表单校验	bdjy
遍地开花	bdkh
不大可能	bdkn
鞭打快牛	bdkn
布达拉宫	bdlg
并蒂莲花	bdlh
不得了了	bdll
不达目的	bdmd
表达能力	bdnl
不夺农时	bdnu
布达佩斯	bdps
不惮其烦	bdqf
不得其法	bdqf
不得其所	bdqs
北斗七星	bdqx
不断如带	bdrd
笔大如椽	bdri
不动如山	bdru
不得人心	bdrx
冰冻三尺	bdsi
拔得头筹	bdti
布德施恩	bdue
笔底生花	bduh
不动声色	bdus
不得善终	bduv
不达时务	bduw
兵多者败	bdvb
本地终端	bdvd
不懂装懂	bdvd
宝刀未老	bdwl
不得无礼	bdwl
百度网盘	bdwp
拔刀相济	bdxj
拔刀相助	bdxv
拔刀相向	bdxx
弊大于利	bdyl
不得要领	bdyl
拜倒辕门	bdym
拔地倚天	bdyt
步调一致	bdyv
不得有误	bdyw
膀大腰圆	bdyy
棒打鸳鸯	bdyy
不打自招	bdzv
比而不党	bebd
避而不答	bebd
避而不见	bebj
博而不精	bebj
避而不谈	bebt
比而不周	bebv
备而不用	beby
不二法门	befm
不二法则	befz
博而寡要	begy
不二之选	bevx
背恩忘义	bewy
不分彼此	bfbc
不悱不发	bfbf
不丰不俭	bfbj
不愤不启	bfbq
不分伯仲	bfbv
百发百中	bfbv
白发苍苍	bfcc
不负此生	bfcu
不复存在	bfcz
百废待举	bfdj
不复当年	bfdn
百废待兴	bfdx
不法分子	bffz
八方呼应	bfhy
白费唇舌	bfiu
不废江河	bfjh
避繁就简	bfjj
悲愤交加	bfjj
百废俱兴	bfjx
暴风疾雨	bfjy
白费口舌	bfku
败法乱纪	bflj
兵分两路	bfll
白费力气	bflq
不乏其例	bfql
不乏其人	bfqr
不分轻重	bfqv
不负所托	bfst
膘肥体壮	bftv
悲愤填膺	bfty
不分胜负	bfuf
不负韶华	bfuh
百分之百	bfvb
剥肤椎髓	bfvs
不法之徒	bfvt
北伐战争	bfvv
不孚众望	bfvw
不负众望	bfvw
百分之一	bfvy
八方支援	bfvy
暴风骤雨	bfvy
捕风捉影	bfvy
变废为宝	bfwb
变法维新	bfwx
八府巡按	bfxa
白费心机	bfxj
不乏先例	bfxl
不分轩轾	bfxv
不法行为	bfxw
八分音符	bfyf
并非易事	bfyu
笔锋一转	bfyv
